1,0.0034903445,0.0083470079,0.0141163655,0.0191535228,0.0238995566,0.0262201740,0.0188224119
2,0.0071460391,0.0155837379,0.0245909266,0.0319356973,0.0357259479,0.0339539443,0.0226593212
3,0.0096967455,0.0202487064,0.0302652106,0.0376901750,0.0406093643,0.0370697862,0.0242051653
4,0.0109948821,0.0224928103,0.0328909498,0.0402760959,0.0427715062,0.0384430500,0.0248864744
5,0.0115917656,0.0235149718,0.0340789332,0.0414399419,0.0437419746,0.0390589116,0.0251920182
6,0.0118615163,0.0239761433,0.0346142711,0.0419639044,0.0441786618,0.0393359915,0.0253294842
7,0.0119830488,0.0241838546,0.0348553340,0.0421998041,0.0443752505,0.0394607244,0.0253913671
8,0.0120377729,0.0242773784,0.0349638704,0.0423060124,0.0444637586,0.0395168813,0.0254192279
9,0.0120624118,0.0243194860,0.0350127367,0.0423538304,0.0445036072,0.0395421645,0.0254317716
10,0.0120735049,0.0243384440,0.0350347377,0.0423753593,0.0445215482,0.0395535478,0.0254374190
11,0.0120784994,0.0243469795,0.0350446432,0.0423850523,0.0445296257,0.0395586728,0.0254399617
12,0.0120807480,0.0243508223,0.0350491029,0.0423894163,0.0445332624,0.0395609802,0.0254411065
13,0.0120817604,0.0243525525,0.0350511108,0.0423913811,0.0445348998,0.0395620191,0.0254416219
